Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
C/RW,10,0.18,0.25,0.43,0.16,1.74,11,15,26,10,35,0,53,26,8,22.9,34.4,-11.5,0.9,1.7,2.5,1.0,suttebr03,17-18
LW,7,0.13,0.16,0.3,0.11,1.3,8,10,18,7,29,0,29,13,13,24.7,18.8,5.9,0.5,1.3,1.8,,tanevbr01,17-18
D,5,0.07,0.13,0.2,0.07,1.16,5,10,15,5,77,0,75,24,26,52.5,53.1,-0.6,0.2,5.0,5.2,,mcnabbr01,17-18
C,26,0.39,0.41,0.8,0.32,2.65,33,34,67,27,100,26,83,27,18,57.1,50.3,6.8,5.5,1.9,7.5,3.0,pointbr01,17-18
C,26,0.34,0.51,0.85,0.32,2.56,29,42,71,27,104,29,67,2,10,59.2,50.2,9.1,5.4,2.5,7.9,0.0,schenbr01,17-18
D,4,0.01,0.19,0.21,0.06,1.01,1,14,15,4,43,0,59,19,3,38.9,41.9,-3.0,0.2,1.8,2.0,,coburbr01,17-18
RW,24,0.38,0.28,0.66,0.29,3.39,32,23,55,24,82,32,69,6,-13,50.0,39.2,10.8,5.3,1.2,6.5,1.0,gallabr01,17-18
C,3,0.11,0.05,0.16,0.07,1.49,4,2,6,3,13,1,22,10,0,13.5,16.0,-2.5,-0.3,0.6,0.3,,gauncbr01,17-18
D,1,0.0,0.28,0.28,0.08,2.06,0,5,5,1,14,0,22,2,-6,11.9,11.8,0.1,0.1,0.4,0.5,,guhlebr01,17-18
LW,7,0.09,0.29,0.38,0.13,1.64,5,17,22,7,33,3,34,0,-4,31.6,29.9,1.6,0.7,0.7,1.3,,leipsbr01,17-18
LW,1,0.11,0.0,0.11,0.06,0.67,1,0,1,1,3,0,1,0,2,1.5,1.6,-0.1,0.0,0.1,0.2,,lemiebr01,17-18
LW,13,0.23,0.18,0.41,0.17,1.74,17,13,30,13,56,17,42,0,-2,32.5,37.6,-5.2,1.8,1.4,3.2,3.0,perlibr01,17-18
D,2,0.02,0.16,0.18,0.06,1.5,1,7,8,2,34,1,45,13,2,29.0,30.7,-1.7,0.0,1.9,1.9,,smithbr05,17-18
D,7,0.06,0.21,0.27,0.09,1.09,5,17,22,7,59,0,74,8,-7,52.9,52.2,0.8,1.0,2.8,3.8,,dillobr01,17-18
D/RW,21,0.15,0.67,0.82,0.26,4.05,12,56,68,22,111,43,93,9,-16,70.6,68.3,2.3,5.4,3.7,9.1,4.0,burnsbr01,17-18
D,9,0.09,0.23,0.32,0.11,1.68,7,19,26,9,73,15,88,26,-3,59.5,60.7,-1.2,1.4,3.5,4.9,,seabrbr01,17-18
RW,11,0.21,0.17,0.39,0.16,0.96,15,12,27,11,45,11,40,0,-6,24.1,32.0,-8.0,2.0,0.7,2.6,,connobr01,17-18
D,3,0.03,0.08,0.11,0.04,1.03,2,6,8,3,35,0,40,2,-3,37.6,34.9,2.7,-0.1,2.1,1.9,,kulakbr01,17-18
D,0,0.0,0.06,0.06,0.02,0.78,0,1,1,0,6,0,14,3,-5,9.0,12.1,-3.1,-0.3,0.3,0.0,,lernobr01,17-18
D,6,0.05,0.25,0.29,0.09,1.35,3,16,19,6,49,1,77,23,-6,46.1,40.3,5.8,0.6,2.8,3.4,,pescebr01,17-18
