ShiftLength,CorsiForRelES,GFPer60,GAPer60,ATOIPP,PPCorsiPercRel,PPGFPer60,PPGAPer60,ATOISH,CorsiForRelSH,SHFPPer60,SHGAPer60,UID,season
0:46,5.2,3.6,1.9,2:17,-1.5,6.1,1.1,0:00,-12.1,0.0,0.0,smithcr01,19-20
0:28,-5.1,2.0,2.8,0:01,-87.1,0.0,0.0,1:46,-3.1,1.8,8.0,lazarcu01,19-20
0:43,4.7,4.2,1.8,0:01,-36.9,0.0,0.0,2:00,3.7,0.0,3.0,mermida01,19-20
0:42,-9.7,2.1,2.1,0:03,18.9,0.0,0.0,0:19,3.1,0.0,0.0,weiseda01,19-20
0:46,1.8,2.4,2.4,0:00,,,,0:25,-8.0,0.0,0.0,proutda01,19-20
0:37,47.8,41.9,0.0,0:00,,,,0:00,,,,smithda03,19-20
0:45,2.3,2.3,3.3,1:59,-0.2,6.1,1.5,2:27,-1.9,1.4,6.3,severda01,19-20
0:42,-0.8,2.3,2.2,0:00,-21.8,0.0,0.0,2:22,-5.3,2.0,8.3,hamhuda01,19-20
0:37,-7.9,2.2,5.1,0:10,-1.4,0.0,0.0,0:01,-18.8,0.0,0.0,carrda01,19-20
0:40,7.6,2.6,4.0,1:40,3.8,9.0,4.5,0:00,-18.5,0.0,0.0,spronda01,19-20
0:33,8.3,1.4,2.8,1:04,-3.3,0.0,0.0,0:00,,0.0,0.0,yurtada01,19-20
0:37,-7.1,4.0,3.2,0:00,,0.0,0.0,3:30,-5.0,0.0,8.7,dekeyda01,19-20
0:38,-0.5,2.2,2.7,0:21,-2.0,2.5,2.5,0:29,0.1,0.0,4.0,fabbrda01,19-20
0:39,-1.7,2.4,4.8,2:10,-22.5,0.0,0.0,0:07,15.0,0.0,15.9,heineda01,19-20
0:59,0.6,3.1,3.2,1:03,-1.7,5.7,0.7,2:02,-1.7,0.0,5.7,nurseda01,19-20
0:45,2.0,1.4,2.1,0:02,-7.9,0.0,0.0,1:39,2.0,1.0,7.9,helmda01,19-20
0:44,-6.9,3.6,3.6,0:17,-28.6,0.0,0.0,0:06,-8.0,0.0,0.0,backeda01,19-20
0:33,-20.2,0.9,1.8,0:00,,0.0,0.0,0:02,-16.8,0.0,0.0,gustada01,19-20
0:36,-1.7,1.7,2.5,0:02,-36.8,0.0,10.6,2:09,0.9,0.4,6.7,kampfda01,19-20
0:44,-8.3,1.0,1.0,0:02,,0.0,0.0,0:06,-26.7,0.0,0.0,kaseda01,19-20
0:47,0.1,3.0,2.0,1:51,1.1,7.7,1.0,0:02,9.3,0.0,0.0,krejcda01,19-20
1:00,5.8,4.1,2.5,3:45,1.4,10.9,1.6,0:00,17.1,0.0,0.0,pastrda01,19-20
0:42,4.2,3.2,2.8,2:58,1.6,9.1,1.1,0:01,20.9,0.0,5.3,perroda01,19-20
0:43,-3.3,2.4,2.4,0:12,13.3,3.4,0.0,1:50,-3.3,0.0,6.4,savarda01,19-20
0:42,1.9,1.6,2.7,0:53,6.9,1.4,0.0,0:00,,0.0,0.0,kukande01,19-20
0:33,0.1,2.5,2.1,1:53,7.2,8.0,1.0,0:00,-10.6,0.0,0.0,guriade01,19-20
0:38,3.1,2.8,4.2,0:53,-0.2,3.4,0.0,0:11,1.4,6.8,6.8,malgide01,19-20
0:33,0.6,1.3,3.7,2:39,5.3,5.6,3.1,0:10,19.8,0.0,8.0,cholode01,19-20
0:42,-7.6,2.2,3.8,0:05,-83.5,0.0,0.0,1:13,-7.4,0.0,7.0,gilbede01,19-20
0:49,-8.4,1.6,2.2,0:00,,0.0,0.0,1:29,-14.2,0.0,4.2,forbode01,19-20
