CorsiFor,CorsiAgainst,CorsiForPerc,CorsiForPercRel,FenwickF,FenwickA,FenwickPerc,FenwickPercRel,TeamOnIceShootPerc,TeamOnIceSavePerc,ShootPercPlusSavePerc,OZoneStartPerc,DZoneStartPerc,ATOIEV,TakeAways,GiveAways,EPlusMin,ShotAttempts,ShotThruPerc,UID,season
106,136,43.8,-2.7,71,105,40.3,-5.3,9.4,88.6,98.0,48.6,51.4,7:25,7,4,-2.0,16.0,50.0,kozunbr01,14-15
1078,1046,50.8,1.1,806,795,50.3,0.7,9.6,95.0,104.6,55.0,45.0,13:47,25,46,5.5,297.0,60.6,kreidch01,14-15
708,655,51.9,-0.8,507,522,49.3,-3.6,8.9,93.8,102.7,53.0,47.0,15:14,20,21,-2.2,141.0,49.6,krejcda01,14-15
1219,1200,50.4,-4.9,908,949,48.9,-5.4,8.5,91.6,100.1,51.9,48.1,17:46,11,52,5.3,216.0,47.2,kronwni01,14-15
1316,1118,54.1,3.4,964,854,53.0,3.5,8.7,92.9,101.7,59.9,40.1,16:38,15,31,5.1,421.0,48.7,krugto01,14-15
839,760,52.5,-1.8,606,549,52.5,-0.6,4.6,93.6,98.2,24.1,75.9,10:47,30,9,1.2,190.0,65.8,krugema01,14-15
1109,880,55.8,4.3,852,670,56.0,4.3,12.6,91.4,104.0,60.7,39.3,12:40,22,48,17.2,329.0,58.7,kucheni01,14-15
15,9,62.5,,11,7,61.1,,12.5,83.3,95.8,100.0,0.0,18:04,0,2,-0.2,2.0,0.0,kulakbr01,14-15
1032,950,52.1,-1.3,747,665,52.9,-1.7,7.8,91.9,99.7,49.1,50.9,12:45,53,29,6.5,212.0,54.2,kulemni01,14-15
1109,1086,50.5,-2.1,852,830,50.7,-1.3,7.6,91.8,99.5,43.4,56.6,17:12,17,26,6.8,183.0,45.4,kulikdm01,14-15
1171,884,57.0,5.6,877,667,56.8,5.3,7.4,91.8,99.3,59.0,41.0,14:39,31,24,9.0,304.0,55.9,kunitch01,14-15
831,833,49.9,-2.1,593,617,49.0,-3.5,9.5,94.1,103.6,56.4,43.6,11:50,32,24,1.3,229.0,55.0,kuzneev01,14-15
1235,1038,54.3,2.5,882,778,53.1,1.7,8.5,92.5,101.0,55.3,44.7,14:56,26,50,6.4,382.0,58.6,laddan01,14-15
738,760,49.3,-2.4,514,536,49.0,-2.7,8.0,91.8,99.7,45.8,54.2,11:59,25,25,2.5,171.0,62.0,laichbr01,14-15
436,448,49.3,2.9,333,341,49.4,3.0,7.0,88.4,95.3,48.8,51.2,12:05,8,18,-2.1,88.0,69.3,landean01,14-15
1195,1264,48.6,7.0,874,905,49.1,6.6,9.3,90.5,99.8,43.9,56.1,15:19,52,34,-2.4,349.0,61.3,landega01,14-15
492,633,43.7,-10.8,367,457,44.5,-10.9,5.7,90.9,96.6,40.0,60.0,8:42,11,8,-9.3,,,lapiema01,14-15
831,960,46.4,-0.2,623,715,46.6,0.8,7.8,93.1,100.9,38.0,62.0,17:21,21,30,3.3,182.0,50.5,larssad01,14-15
396,548,41.9,4.6,296,406,42.2,2.6,6.6,94.7,101.3,46.2,53.8,13:09,10,12,-3.0,88.0,56.8,larssjo02,14-15
113,113,50.0,-0.8,86,79,52.1,2.2,9.8,96.9,106.8,68.3,31.7,11:51,3,2,-1.6,12.0,58.3,lashobr01,14-15
365,352,50.9,0.0,271,240,53.0,1.9,6.1,95.6,101.7,48.6,51.4,8:07,15,11,3.8,51.0,47.1,lattami01,14-15
282,331,46.0,-3.6,203,248,45.0,-5.2,7.3,93.4,100.7,50.3,49.7,11:25,11,12,1.1,89.0,57.3,laughsc01,14-15
10,7,58.8,26.3,6,6,50.0,24.1,0.0,80.0,80.0,42.9,57.1,9:05,0,1,-0.5,3.0,66.7,lauriol01,14-15
752,731,50.7,0.6,552,559,49.7,1.3,8.3,92.1,100.4,48.4,51.6,12:15,24,13,0.1,165.0,55.8,lazarcu01,14-15
525,583,47.4,-2.5,384,427,47.3,-1.0,8.5,90.6,99.0,59.0,41.0,10:43,11,16,-1.7,187.0,55.1,lecavvi01,14-15
1455,1174,55.3,3.6,1057,809,56.6,3.8,8.1,92.5,100.6,54.5,45.5,17:03,39,42,19.6,236.0,50.8,leddyni01,14-15
1049,873,54.6,2.1,785,616,56.0,2.6,8.9,90.2,99.1,58.7,41.3,12:06,23,23,19.6,303.0,65.0,leean01,14-15
687,707,49.3,-1.4,492,549,47.3,-2.0,7.3,94.3,101.6,43.4,56.6,9:53,30,25,-2.5,162.0,56.2,legwada01,14-15
923,847,52.1,0.2,672,593,53.1,-0.2,11.3,92.2,103.5,58.6,41.4,13:29,40,16,5.0,173.0,59.5,lehtejo01,14-15
65,60,52.0,7.2,53,39,57.6,11.4,7.3,88.6,95.9,58.7,41.3,7:33,7,0,-0.6,16.0,62.5,leivojo01,14-15
459,569,44.6,-4.5,342,420,44.9,-5.0,5.5,94.3,99.8,45.9,54.1,14:13,9,8,-4.1,,,leopojo01,14-15
29,20,59.2,,20,15,57.1,,6.3,84.6,90.9,35.3,64.7,11:34,0,1,-0.1,9.0,88.9,lergbr01,14-15
284,293,49.2,1.6,223,217,50.7,3.0,4.2,89.6,93.8,56.8,43.2,12:09,7,7,1.5,63.0,69.8,lessilu01,14-15
1396,1095,56.0,4.5,1032,801,56.3,4.6,8.6,92.1,100.7,56.1,43.9,18:52,39,60,8.6,382.0,51.6,letankr01,14-15
382,525,42.1,-8.5,290,408,41.5,-8.7,7.1,91.3,98.4,42.7,57.3,10:09,21,7,-7.9,101.0,62.4,letesma01,14-15
868,690,55.7,1.2,640,508,55.7,1.9,6.7,93.3,100.0,58.0,42.0,12:21,16,7,3.2,218.0,65.1,lewistr01,14-15
948,769,55.2,1.7,696,569,55.0,2.4,5.8,91.0,96.8,54.7,45.3,16:39,19,38,5.0,194.0,46.4,lilesjo01,14-15
10,6,62.5,5.9,7,5,58.3,4.6,0.0,100.0,100.0,100.0,0.0,8:18,0,1,0.4,3.0,66.7,lindbos02,14-15
11,3,78.6,20.4,9,3,75.0,14.0,0.0,100.0,100.0,64.3,35.7,6:47,0,0,0.1,5.0,60.0,lindbma01,14-15
295,281,51.2,-0.6,209,202,50.9,-2.3,7.1,91.7,98.8,50.7,49.3,15:12,6,3,-1.0,53.0,60.4,lindbpe02,14-15
