"ID","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"556","Dylan Coghlan","CAR","D","17","1.15","0.067647058823529","87.98","-9.36","45.66","89.95","1.76","44.44","41.04","14.86","27.03","-3.27","-5.89","-","4.1","-3.13","42.78","44.97","-34.04","82.54","-5.89","-21.6","-","-3.27","-3.27","-","67.82","-16.58","90.48","0","-1.75","0.00","139.38","38.48","43.14","0","-1.89","0.00","0.00","100.00","1.000","52.17","52.17","0","260.87","100.00","52.17","52.17","0","100.00"
"313","Steven Santini","STL","D","4","2.8833333333333","0.72083333333333","8.19","-9.51","6.67","8.19","11.52","4.67","12.4","-17.26","20.83","0","20.81","-","-0.4","-0.92","-4.59","-4.21","16.17","-8.33","0","-8.41","-","0","0","-","-5.61","32.77","-10.00","0","27.75","0.00","-6.07","-37.08","-5.88","0","0","-","0.00","50.00","0.500","0","0","41.62","83.24","0.00","20.81","20.81","41.62","33.33"
"667","Rasmus Dahlin","BUF","D","78","100.4","1.2871794871795","3.12","-9.54","3.16","4.12","-7.14","4.26","3.55","-3.93","4.54","2.02","-2.04","17.81","1.13","-1.22","10.83","3.71","-11.38","6.44","0.28","-6.33","4.64","1.42","0.78","13.38","4.57","-6.73","8.35","0","-2.3","0.00","0.1","-1.02","0.23","0","-1.58","0.00","18.52","86.79","1.053","1.2","5.98","25.1","65.74","4.55","5.38","8.37","32.27","14.29"
"267","Josh Anderson","MTL","R","69","88.75","1.286231884058","9.95","-9.63","7.19","8.77","-10.58","8.87","3.57","-4.38","4.88","0.24","0.91","1.56","0.54","-2.3","6.80","4.41","-17.91","7.67","3.2","-10.09","12.80","0.24","-0.09","3.33","1.61","-10.42","4.10","0","-0.51","0.00","5.9","14.59","5.72","0","2.31","0.00","5.56","81.72","0.873","0","7.44","45.97","40.56","0.00","1.35","10.82","58.82","2.25"
"186","Nick Cousins","FLA","C","79","3.4","0.043037974683544","-19.59","-9.72","-16.67","-15.93","-3.86","-17.63","-12.54","14.3","-18.22","-0.78","-8.62","-","-1.32","1.46","-14.26","-9.01","15.47","-14.05","-3.79","-23.9","-","-0.39","-4.31","-","-6.97","52.5","-14.34","-0.35","-2.79","-11.11","-6.04","-37.14","-8.79","-0.19","-3.21","-5.56","-","100.00","1.00","0","52.94","17.65","88.24","0.00","0","52.94","17.65","0.00"
"265","Brett Kulak","EDM","D","82","142.61666666667","1.7392276422764","6.68","-9.74","6.04","5.49","-9.44","6.59","4.49","-5.32","6.54","1.42","2.3","5.00","0.69","-0.82","7.65","6.12","-3.63","8.24","2.41","-2.31","8.64","-0.1","1.77","-8.17","4.94","-1.76","8.05","1.72","0.29","23.86","3.68","-10.24","6.01","0","0.46","0.00","21.05","81.54","1.026","0.84","2.1","28.19","57.22","2.90","2.52","5.05","37.02","6.38"
"692","Connor Dewar","MIN","C","81","131.95","1.629012345679","10.21","-9.79","8.60","8.1","-4.59","8.34","4.51","-2.93","6.31","-0.25","-4.88","15.96","0.77","-0.93","9.62","7.65","-9.63","13.06","4.88","-3.26","17.39","0.37","-3.06","50.83","3.69","-8.49","9.13","-0.55","-2.59","-11.11","2.45","-4.54","3.26","0","0.18","0.00","11.76","93.86","1.056","0.45","3.18","15.46","70.03","2.86","1.82","5.91","22.28","7.55"
"227","Matt Dumba","MIN","D","79","143.5","1.8164556962025","5.28","-9.81","5.08","5.39","-4.82","5.99","4.56","-1.24","5.87","0.91","-0.12","8.57","0.34","-0.05","3.55","1.02","-1.2","1.69","2.62","5.69","4.16","0.95","1.06","5.13","-2.13","-9.19","-2.31","-0.61","-2.89","-11.76","2.63","-13.81","4.53","0","1.43","0.00","16.67","88.28","1.049","1.25","2.51","20.49","53.52","5.77","2.93","9.62","31.78","8.43"
"377","Brandon Montour","FLA","D","80","70.933333333333","0.88666666666667","4.32","-9.87","4.62","0.5","-3.83","1.21","-3.79","-2.92","-4.16","1.07","0.31","8.93","0.96","-0.43","9.53","6.56","-7.68","10.67","2.28","-3.27","9.41","0.54","0.89","7.39","5.7","-5.89","11.52","0.92","0.08","19.12","1.51","1.5","1.76","-0.22","-0.92","-6.25","20.00","82.81","1.028","2.54","5.92","16.92","78.67","13.04","4.23","8.46","26.22","13.89"
"288","Connor Clifton","BOS","D","78","102.5","1.3141025641026","1.98","-10.02","3.48","2.98","-4.93","4.23","2.52","-11.06","8.49","0.9","-3.12","29.34","0.29","-0.62","4.69","4.34","-4.69","7.51","1.51","-2.41","7.25","0.41","-2.49","44.74","3.77","-3.04","7.72","1.11","-0.81","44.44","-3.06","-11.75","-2.40","0","-0.03","0.00","12.00","93.44","1.054","0.59","5.27","24","63.8","2.38","2.93","8.78","33.95","7.94"
