"ID","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"376","Sonny Milano","WSH","L","64","763.65","11.93203125","-4.26","-4.37","0.03","-2.52","-0.05","-1.48","-3.69","1.83","-4.64","0.53","1.01","-3.58","-0.03","0.11","-1.23","-0.43","-0.06","-0.32","-0.41","1.1","-3.09","0.58","-0.23","12.01","-0.06","-1.5","1.61","-0.1","1.18","-26.83","-5.48","-5.45","-0.22","0.02","0.48","-8.11","11.29","88.56","0.999","11.47","13.51","6.05","45.18","65.47","19.72","18.23","14.22","58.10"
"244","Mike Matheson","MTL","D","48","858.26666666667","17.880555555556","2.3","-4.44","2.93","2.2","-3.57","3.53","1.49","-3.18","3.95","-0.15","-1.29","9.04","0","-0.07","0.57","0.67","-4.07","3.89","-0.87","-1.1","-0.32","-0.52","-0.72","-2.04","2","-3.96","6.84","0.59","-0.93","32.54","3.24","-2.07","3.79","-0.05","0.19","-14.66","9.51","91.78","1.013","5.45","10.84","6.64","39.29","45.09","15.8","17.97","17.83","46.99"
"913","Kent Johnson","CBJ","C","79","964.3","12.206329113924","-5","-4.44","-0.80","-4.06","-2.03","-1.71","-2.57","-0.42","-2.12","0.4","-0.59","8.69","-0.34","0.04","-4.08","-2.32","-2.93","-0.08","-1.71","0.21","-4.74","0.38","-0.24","11.20","-0.78","-4.14","3.11","0.12","0.05","2.17","-3.48","-2.96","-1.02","-0.12","-0.57","18.78","9.70","91.40","1.011","13.56","12.32","6.1","42.56","68.99","19.85","16.43","13.44","59.63"
"350","Anthony Mantha","WSH","R","67","854.41666666667","12.752487562189","1","-4.47","2.43","0.37","-3.95","2.61","0.33","-4.07","3.81","-0.2","0.27","-4.43","-0.02","-0.3","2.88","0.22","-2.82","2.75","-0.08","-2.4","5.30","-0.13","-0.1","-0.52","0.43","-0.47","1.01","-0.19","0.35","-12.30","1.08","-3.37","3.12","0.09","0.18","0.25","8.13","89.42","0.975","8.92","11.1","9.55","41.22","48.29","15.45","14.68","16.01","49.11"
"589","Axel Jonsson-Fjallby","WPG","L","50","470.13333333333","9.4026666666667","-4.69","-4.48","-0.09","-3.24","-4.27","0.64","-1.67","-4.27","2.19","-0.53","-0.09","-4.60","-0.43","-0.43","-0.17","-7.92","-3.7","-4.17","-3.83","-1.71","-5.49","-0.07","0.34","-7.81","-5.48","-2.66","-3.35","-0.28","-0.51","8.98","1.21","-1.1","1.78","-0.36","-0.08","-11.22","7.70","92.02","0.997","6.76","14.68","7.27","55.9","48.18","12","18.25","15.44","43.72"
"109","Calvin de Haan","CAR","D","53","682.03333333333","12.868553459119","-4.82","-4.49","0.81","-3.39","-5.2","2.24","-4.07","-3.82","1.08","-0.11","0.05","-1.66","-0.34","-0.19","-0.36","-3.16","-1.4","-0.69","-2.99","-0.96","-2.64","-0.78","0.06","-15.12","-0.22","-0.58","0.71","0.6","0.09","10.09","-2.89","-4.71","2.71","0.31","-0.1","22.54","8.12","90.58","0.987","8.8","13.37","6.86","48.12","56.18","19.88","20.15","16.01","55.39"
"243","Olli Maatta","DET","D","78","1282.7166666667","16.445085470085","-3.59","-4.51","0.11","-3.12","-2.44","-0.72","-2.96","0.41","-3.21","-0.54","-0.21","-4.20","-0.26","0.11","-4.01","-1.34","-2.47","0.70","-1.46","0.23","-4.26","-0.34","-0.25","-3.55","0.16","-3.62","4.30","0.03","-0.1","2.50","-3.96","-4.43","-0.04","-0.32","0.18","-21.03","8.00","90.95","0.990","6.41","13.05","7.58","46.5","45.82","15.39","18.52","16.32","48.53"
"676","Johnathan Kovacevic","MTL","D","77","1165.7","15.138961038961","3.57","-4.52","3.61","2.68","-2.72","3.35","1.23","-0.58","1.60","0.37","-0.41","7.21","0.35","-0.32","6.40","1.22","-4.76","5.05","0.09","-1.8","3.55","-0.15","-0.35","1.75","1.47","-3.96","6.11","0.35","-0.31","15.51","3.77","-1.21","3.70","0.36","0.25","-0.39","9.80","91.42","1.012","5.15","9.99","6.9","46.43","42.74","13.9","16.93","16.73","45.38"
"827","Philip Broberg","EDM","D","46","523.61666666667","11.382971014493","3.8","-4.56","3.91","0.2","-4.57","3.32","0.8","-2.68","3.10","0.28","0.59","-3.47","0.12","-0.15","2.51","1.81","-2.47","3.88","-0.04","-1.07","2.61","-0.25","0.38","-10.12","2.51","-1.86","4.92","0.7","0.36","-0.20","1.04","-3.1","3.36","0","-0.07","2.80","9.57","88.21","0.978","8.14","10.54","7.33","52.71","52.59","21.31","17.42","16.73","56.02"
"39","Derick Brassard","OTT","C","62","612.08333333333","9.872311827957","-3.83","-4.6","0.41","-4.09","-2.53","-0.81","-1.89","-0.93","-0.76","0","-1.36","13.67","-0.26","-0.06","-1.94","-1.67","-1.55","-0.09","-0.88","-0.64","-0.49","0.32","-0.36","11.74","-1.02","-1.19","0.19","-0.19","-0.94","20.84","-4.1","-1.52","-1.80","-0.23","-0.4","5.55","7.88","93.84","1.017","8.63","15.19","11.86","55.38","42.11","15.29","20.39","21.17","41.94"
