Player,season,Pos,GP,FOW,FOL,FaceoffRating
Evgenii Dadonov,19-20,RW,69,0.0,0.0,0
Rasmus Dahlin,19-20,D,59,0.0,0.0,0
Carl Dahlström,19-20,D,15,0.0,0.0,0
Michael Dal Colle,19-20,LW,53,5.0,2.0,0
Trevor Daley,19-20,D,43,0.0,0.0,0
Phillip Danault,19-20,LW,71,728.0,608.0,22
Marko Daňo,19-20,C,3,0.0,0.0,0
Brandon Davidson,19-20,D,12,0.0,0.0,0
Jonathan Davidsson,19-20,RW,6,0.0,0.0,0
Calvin de Haan,19-20,D,29,0.0,0.0,0
Jacob de La Rose,19-20,LW,50,118.0,156.0,5
Chase De Leo,19-20,C,1,0.0,1.0,0
Jean-Sébastien Dea,19-20,C,3,1.0,1.0,0
Tony DeAngelo,19-20,D,68,0.0,0.0,0
Alex DeBrincat,19-20,RW,70,7.0,13.0,0
Jake DeBrusk,19-20,LW,65,9.0,17.0,0
Danny DeKeyser,19-20,D,8,0.0,0.0,0
Michael Del Zotto,19-20,D,49,0.0,0.0,0
Dylan DeMelo,19-20,D,59,0.0,0.0,0
Jason Demers,19-20,D,50,0.0,0.0,0
Travis Dermott,19-20,D,56,0.0,0.0,0
Nicolas Deslauriers,19-20,LW,59,0.0,0.0,0
Phillip Di Giuseppe,19-20,LW,20,0.0,2.0,0
Thomas Di Pauli,19-20,C,2,0.0,0.0,0
Jason Dickinson,19-20,C,65,196.0,251.0,5
Brenden Dillon,19-20,D,69,0.0,0.0,0
Christian Djoos,19-20,D,11,0.0,0.0,0
Noah Dobson,19-20,D,34,0.0,0.0,0
Max Domi,19-20,LW,71,385.0,403.0,12
Ryan Donato,19-20,C,62,40.0,62.0,5
Joonas Donskoi,19-20,RW,65,9.0,12.0,0
Drew Doughty,19-20,D,67,0.0,0.0,0
Nic Dowd,19-20,C,56,274.0,277.0,13
Justin Dowling,19-20,C,29,42.0,54.0,5
Leon Draisaitl,19-20,C,71,662.0,608.0,18
Sheldon Dries,19-20,C,5,4.0,2.0,2
Jonathan Drouin,19-20,LW,27,4.0,8.0,0
Dillon Dubé,19-20,C,45,0.0,2.0,0
Pierre-Luc Dubois,19-20,LW,70,359.0,446.0,5
Matt Duchene,19-20,C,66,390.0,305.0,23
Anthony Duclair,19-20,LW,66,3.0,3.0,0
Mathew Dumba,19-20,D,69,0.0,0.0,0
Gabriel Dumont,19-20,C,3,6.0,9.0,1
Brian Dumoulin,19-20,D,28,0.0,0.0,0
Vince Dunn,19-20,D,71,0.0,0.0,0
Christian Dvorak,19-20,C,70,523.0,426.0,23
Ryan Dzingel,19-20,C,64,9.0,20.0,0
Cody Eakin,19-20,C,49,311.0,330.0,12
Jordan Eberle,19-20,RW,58,3.0,6.0,0
Alexander Edler,19-20,D,59,0.0,0.0,0
Joel Edmundson,19-20,D,68,0.0,0.0,0
Nikolaj Ehlers,19-20,LW,71,0.0,2.0,0
Christoffer Ehn,19-20,C,54,96.0,130.0,5
Jack Eichel,19-20,C,68,615.0,696.0,9
Aaron Ekblad,19-20,D,67,0.0,0.0,0
Mattias Ekholm,19-20,D,68,0.0,0.0,0
Oliver Ekman-Larsson,19-20,D,66,0.0,0.0,0
Lars Eller,19-20,C,69,536.0,497.0,18
Ryan Ellis,19-20,D,49,0.0,0.0,0
Deryk Engelland,19-20,D,49,0.0,0.0,0
Andreas Englund,19-20,D,24,0.0,0.0,0
Pierre Engvall,19-20,LW,48,41.0,64.0,5
Tyler Ennis,19-20,C,70,7.0,8.0,0
Jonathan Ericsson,19-20,D,18,0.0,0.0,0
Loui Eriksson,19-20,LW,49,2.0,0.0,0
Joel Eriksson Ek,19-20,C,62,367.0,428.0,8
Adam Erne,19-20,LW,56,20.0,13.0,0
Jake Evans,19-20,C,13,29.0,27.0,9
Robby Fabbri,19-20,C,61,27.0,40.0,5
Dante Fabbro,19-20,D,64,0.0,0.0,0
Radek Faksa,19-20,C,66,404.0,407.0,14
Oscar Fantenberg,19-20,D,36,0.0,0.0,0
Joel Farabee,19-20,LW,52,3.0,7.0,0
Jesper Fast,19-20,RW,69,9.0,17.0,0
Justin Faulk,19-20,D,69,0.0,0.0,0
Taylor Fedun,19-20,D,27,0.0,0.0,0
Martin Fehérváry,19-20,D,6,0.0,0.0,0
Micheal Ferland,19-20,LW,14,2.0,0.0,0
Mario Ferraro,19-20,D,61,0.0,0.0,0
Kevin Fiala,19-20,LW,64,2.0,7.0,0
Valtteri Filppula,19-20,C,70,324.0,398.0,6
Christian Fischer,19-20,RW,56,3.0,8.0,0
Cale Fleury,19-20,D,41,0.0,0.0,0
Haydn Fleury,19-20,D,45,0.0,0.0,0
Warren Foegele,19-20,LW,68,18.0,21.0,0
Steven Fogarty,19-20,C,7,6.0,3.0,3
Marcus Foligno,19-20,LW,59,9.0,15.0,0
Nick Foligno,19-20,LW,67,159.0,160.0,8
Christian Folin,19-20,D,16,0.0,0.0,0
Derek Forbort,19-20,D,20,0.0,0.0,0
Filip Forsberg,19-20,C,63,1.0,2.0,0
Liam Foudy,19-20,C,2,0.0,0.0,0
Cam Fowler,19-20,D,59,0.0,0.0,0
Adam Fox,19-20,D,70,0.0,0.0,0
Trent Frederic,19-20,C,2,0.0,0.0,0
Mark Friedman,19-20,D,6,0.0,0.0,0
Martin Frk,19-20,RW,17,0.0,0.0,0
Michael Frolík,19-20,LW,57,6.0,15.0,0
Morgan Frost,19-20,C,20,44.0,49.0,5
Sam Gagner,19-20,C,42,45.0,57.0,5
Alex Galchenyuk,19-20,C,59,67.0,64.0,5
Brendan Gallagher,19-20,RW,59,12.0,17.0,0
Dylan Gambrell,19-20,C,50,170.0,200.0,6
Jake Gardiner,19-20,D,68,0.0,0.0,0
Rhett Gardner,19-20,C,8,25.0,28.0,7
Conor Garland,19-20,RW,68,4.0,7.0,0
Adam Gaudette,19-20,C,59,187.0,267.0,5
Johnny Gaudreau,19-20,LW,70,1.0,3.0,0
Brendan Gaunce,19-20,C,1,0.0,1.0,0
Cameron Gaunce,19-20,D,3,0.0,0.0,0
Frederik Gauthier,19-20,C,61,208.0,172.0,16
Julien Gauthier,19-20,RW,17,1.0,2.0,0
Vladislav Gavrikov,19-20,D,69,0.0,0.0,0
Morgan Geekie,19-20,C,2,12.0,10.0,21
Nathan Gerbe,19-20,C,30,6.0,6.0,0
Timothy Gettinger,19-20,LW,2,0.0,2.0,0
Ryan Getzlaf,19-20,C,69,530.0,504.0,17
Brian Gibbons,19-20,C,15,0.0,0.0,0
Dennis Gilbert,19-20,D,21,0.0,0.0,0
John Gilmour,19-20,D,4,0.0,0.0,0
Mark Giordano,19-20,D,60,0.0,0.0,0
Samuel Girard,19-20,D,70,0.0,0.0,0
Zemgus Girgensons,19-20,C,69,30.0,43.0,5
Claude Giroux,19-20,C,69,663.0,460.0,26
Cody Glass,19-20,C,39,60.0,83.0,5
Luke Glendening,19-20,C,60,393.0,307.0,23
Nikolay Goldobin,19-20,LW,1,0.0,0.0,0
Alex Goligoski,19-20,D,70,0.0,0.0,0
Cody Goloubef,19-20,D,26,0.0,0.0,0
Barclay Goodrow,19-20,RW,70,393.0,406.0,12
Shayne Gostisbehere,19-20,D,42,0.0,0.0,0
Yanni Gourde,19-20,C,70,93.0,79.0,5
Michael Grabner,19-20,RW,46,0.0,4.0,0
Markus Granlund,19-20,C,34,25.0,32.0,5
Mikael Granlund,19-20,C,63,73.0,77.0,5
Derek Grant,19-20,C,56,358.0,336.0,17
Tyler Graovac,19-20,C,8,8.0,14.0,0
Kevin Gravel,19-20,D,3,0.0,0.0,0
Ryan Graves,19-20,D,69,0.0,0.0,0
Mike Green,19-20,D,50,0.0,0.0,0
Andy Greene,19-20,D,63,0.0,0.0,0
Jordan Greenway,19-20,LW,67,15.0,12.0,0
Noah Gregor,19-20,C,28,6.0,13.0,0
Rocco Grimaldi,19-20,C,66,1.0,5.0,0
Jordan Gross,19-20,D,2,0.0,0.0,0
Carl Grundström,19-20,RW,13,0.0,0.0,0
Matt Grzelcyk,19-20,D,68,0.0,0.0,0
Radko Gudas,19-20,D,63,0.0,0.0,0
Erik Gudbranson,19-20,D,51,0.0,0.0,0
Jake Guentzel,19-20,C,39,22.0,24.0,0
Brendan Guhle,19-20,D,30,0.0,0.0,0
Carl Gunnarsson,19-20,D,36,0.0,0.0,0
Denis Gurianov,19-20,RW,64,0.0,0.0,0
Nikita Gusev,19-20,LW,66,1.0,2.0,0
David Gustafsson,19-20,C,22,34.0,29.0,6
Erik Gustafsson,19-20,D,66,0.0,0.0,0
Gaetan Haas,19-20,F,58,172.0,236.0,5
Brandon Hagel,19-20,LW,1,0.0,0.0,0
Carl Hagelin,19-20,LW,58,13.0,15.0,0
Robert Hägg,19-20,D,49,0.0,0.0,0
Nicolas Hague,19-20,D,38,0.0,0.0,0
Ron Hainsey,19-20,D,64,0.0,0.0,0
Libor Hájek,19-20,D,28,0.0,0.0,0
Jani Hakanpää,19-20,D,5,0.0,0.0,0
Micheal Haley,19-20,C,22,7.0,5.0,0
Taylor Hall,19-20,LW,65,20.0,31.0,5
Dan Hamhuis,19-20,D,60,0.0,0.0,0
Dougie Hamilton,19-20,D,47,0.0,0.0,0
Travis Hamonic,19-20,D,50,0.0,0.0,0
Noah Hanifin,19-20,D,70,0.0,0.0,0
Joel Hanley,19-20,D,8,0.0,0.0,0
Jansen Harkins,19-20,C,29,0.0,5.0,0
Scott Harrington,19-20,D,39,0.0,0.0,0
Ryan Hartman,19-20,RW,69,83.0,69.0,5
Garnet Hathaway,19-20,RW,66,9.0,20.0,0
Erik Haula,19-20,LW,48,381.0,323.0,21
Jayce Hawryluk,19-20,C,26,4.0,8.0,0
John Hayden,19-20,C,43,4.0,15.0,0
Kevin Hayes,19-20,RW,69,415.0,411.0,14
Barrett Hayton,19-20,C,20,23.0,38.0,5
Victor Hedman,19-20,D,66,0.0,0.0,0
Tim Heed,19-20,D,38,0.0,1.0,0
Danton Heinen,19-20,C,67,5.0,8.0,0
Ville Heinola,19-20,D,8,0.0,0.0,0
Miro Heiskanen,19-20,D,68,0.0,0.0,0
Darren Helm,19-20,C,68,15.0,13.0,0
Adam Henrique,19-20,C,71,512.0,419.0,22
Tomáš Hertl,19-20,C,48,433.0,357.0,22
Joe Hicketts,19-20,D,6,0.0,0.0,0
Matthew Highmore,19-20,LW,36,1.0,3.0,0
Vinnie Hinostroza,19-20,C,68,26.0,35.0,5
Roope Hintz,19-20,LW,60,172.0,173.0,9
Taro Hirose,19-20,LW,26,0.0,5.0,0
Nico Hischier,19-20,C,58,507.0,473.0,18
Niklas Hjalmarsson,19-20,D,27,0.0,0.0,0
Mike Hoffman,19-20,C,69,7.0,8.0,0
Nick Holden,19-20,D,61,0.0,0.0,0
Justin Holl,19-20,D,68,0.0,0.0,0
Korbinian Holzer,19-20,D,49,0.0,0.0,0
Patric Hörnqvist,19-20,RW,52,2.0,4.0,0
Bo Horvat,19-20,C,69,850.0,633.0,25
Brett Howden,19-20,C,70,251.0,270.0,9
Filip Hronek,19-20,D,65,0.0,0.0,0
Jonathan Huberdeau,19-20,LW,69,24.0,37.0,5
Charles Hudon,19-20,LW,15,1.0,3.0,0
Cameron Hughes,19-20,C,1,0.0,0.0,0
Jack Hughes,19-20,C,61,167.0,295.0,5
Quinn Hughes,19-20,D,68,0.0,0.0,0
Brad Hunt,19-20,D,59,0.0,0.0,0
Dryden Hunt,19-20,LW,21,0.0,0.0,0
Ben Hutton,19-20,D,65,0.0,0.0,0
Zach Hyman,19-20,C,51,70.0,90.0,5
Alex Iafallo,19-20,C,70,11.0,12.0,0
Matt Irwin,19-20,D,36,0.0,0.0,0
Joshua Jacobs,19-20,D,2,0.0,0.0,0
Mark Jankowski,19-20,C,56,191.0,235.0,5
Mattias Janmark,19-20,C,62,30.0,39.0,5
Calle Järnkrok,19-20,C,64,33.0,37.0,5
Christián Jaroš,19-20,D,13,0.0,0.0,0
Boone Jenner,19-20,C,70,644.0,523.0,23
Nick Jensen,19-20,D,68,0.0,0.0,0
Ryan Johansen,19-20,C,68,549.0,483.0,20
Marcus Johansson,19-20,C,60,197.0,294.0,5
Stephen Johns,19-20,D,17,0.0,0.0,0
Adam Johnson,19-20,C,7,0.0,0.0,0
Erik Johnson,19-20,D,59,0.0,0.0,0
Jack Johnson,19-20,D,67,0.0,0.0,0
Luke Johnson,19-20,C,3,16.0,16.0,14
Tyler Johnson,19-20,C,65,173.0,180.0,8
Andreas Johnsson,19-20,LW,43,0.0,2.0,0
Ross Johnston,19-20,LW,32,1.0,0.0,-1
Henri Jokiharju,19-20,D,69,0.0,0.0,0
Caleb Jones,19-20,D,43,0.0,0.0,0
Max Jones,19-20,LW,59,11.0,16.0,0
Seth Jones,19-20,D,56,0.0,0.0,0
Mathieu Joseph,19-20,RW,37,4.0,10.0,0
Roman Josi,19-20,D,69,0.0,0.0,0
Tyson Jost,19-20,C,67,85.0,170.0,5
Tomáš Jurčo,19-20,RW,12,2.0,2.0,0
Nazem Kadri,19-20,C,51,407.0,310.0,24
Dominik Kahun,19-20,C,56,29.0,31.0,5
Kaapo Kakko,19-20,RW,66,2.0,4.0,0
Vladislav Kamenev,19-20,LW,38,57.0,50.0,6
David Kämpf,19-20,C,70,313.0,285.0,16
Steven Kampfer,19-20,D,10,0.0,0.0,0
Evander Kane,19-20,LW,64,106.0,95.0,6
Patrick Kane,19-20,RW,70,1.0,3.0,0
Kasperi Kapanen,19-20,RW,69,2.0,13.0,0
Erik Karlsson,19-20,D,56,0.0,0.0,0
Melker Karlsson,19-20,C,61,14.0,17.0,0
William Karlsson,19-20,C,63,491.0,455.0,18
David Kaše,19-20,RW,6,1.0,0.0,0
Ondřej Kaše,19-20,RW,55,6.0,23.0,0
Zack Kassian,19-20,RW,59,1.0,2.0,0
Martin Kaut,19-20,RW,9,1.0,0.0,0
Duncan Keith,19-20,D,61,0.0,0.0,0
Clayton Keller,19-20,C,70,8.0,13.0,0
Joel Kellman,19-20,F,31,112.0,126.0,8
Adrian Kempe,19-20,LW,69,92.0,131.0,5
Michal Kempný,19-20,D,58,0.0,0.0,0
Alexander Kerfoot,19-20,C,65,191.0,216.0,6
Phil Kessel,19-20,RW,70,2.0,7.0,0
Jujhar Khaira,19-20,LW,64,34.0,32.0,5
Alex Killorn,19-20,C,68,5.0,14.0,0
Joel Kiviranta,19-20,F,11,0.0,0.0,0
Oscar Klefbom,19-20,D,62,0.0,0.0,0
John Klingberg,19-20,D,58,0.0,0.0,0
Nikolai Knyzhov,19-20,D,3,0.0,0.0,0
Slater Koekkoek,19-20,D,42,0.0,0.0,0
Mikko Koivu,19-20,C,55,431.0,380.0,20
Otto Koivula,19-20,LW,12,24.0,41.0,5
Keegan Kolesar,19-20,RW,1,1.0,0.0,2
Leo Komarov,19-20,C,48,34.0,52.0,5
Travis Konecny,19-20,C,66,24.0,25.0,0
Anže Kopitar,19-20,C,70,777.0,631.0,23
Egor Korshkov,19-20,F,1,0.0,0.0,0
Klim Kostin,19-20,C,4,0.0,0.0,0
Jesperi Kotkaniemi,19-20,C,36,125.0,167.0,5
Ilya Kovalchuk,19-20,LW,46,8.0,16.0,0
Chris Kreider,19-20,LW,63,53.0,70.0,5
David Krejčí,19-20,C,61,370.0,367.0,14
Torey Krug,19-20,D,61,0.0,0.0,0
Dominik Kubalík,19-20,LW,68,6.0,13.0,0
Nikita Kucherov,19-20,RW,68,0.0,1.0,0
Karson Kuhlman,19-20,C,25,1.0,3.0,0
Tom Kühnhackl,19-20,RW,28,0.0,0.0,0
Dean Kukan,19-20,D,33,0.0,0.0,0
Brett Kulak,19-20,D,56,0.0,0.0,0
Dmitry Kulikov,19-20,D,51,0.0,0.0,0
Luke Kunin,19-20,C,63,210.0,262.0,5
Janne Kuokkanen,19-20,C,1,0.0,0.0,0
Sean Kuraly,19-20,C,69,254.0,267.0,10
Evgeny Kuznetsov,19-20,C,63,348.0,455.0,5
Oliver Kylington,19-20,D,48,0.0,0.0,0
Jordan Kyrou,19-20,C,28,2.0,3.0,0
Joel L'Esperance,19-20,RW,3,0.0,1.0,0
Kevin Labanc,19-20,RW,70,2.0,10.0,0
Andrew Ladd,19-20,LW,4,0.0,0.0,0
Paul Ladue,19-20,D,2,0.0,0.0,0
Sam Lafferty,19-20,C,50,117.0,119.0,7
William Lagesson,19-20,D,8,0.0,0.0,0
Patrik Laine,19-20,RW,68,10.0,17.0,0
Maxime Lajoie,19-20,D,6,0.0,0.0,0
Gabriel Landeskog,19-20,LW,54,274.0,212.0,22
Dylan Larkin,19-20,C,71,715.0,647.0,19
Adam Larsson,19-20,D,49,0.0,0.0,0
Jacob Larsson,19-20,D,60,0.0,0.0,0
Johan Larsson,19-20,LW,62,322.0,347.0,10
Brian Lashoff,19-20,D,9,0.0,0.0,0
Scott Laughton,19-20,C,49,146.0,125.0,14
Jeremy Lauzon,19-20,D,19,0.0,0.0,0
Curtis Lazar,19-20,C,38,185.0,176.0,15
Nick Leddy,19-20,D,60,0.0,0.0,0
Anders Lee,19-20,LW,68,90.0,109.0,5
Artturi Lehkonen,19-20,LW,70,12.0,14.0,0
Brendan Leipsic,19-20,LW,61,9.0,12.0,0
Josh Leivo,19-20,LW,36,10.0,7.0,0
Brendan Lemieux,19-20,LW,59,18.0,31.0,0
Otto Leskinen,19-20,D,5,0.0,0.0,0
Kris Letang,19-20,D,61,0.0,0.0,0
Mark Letestu,19-20,C,7,25.0,21.0,16
Maxim Letunov,19-20,C,3,3.0,3.0,2
Tyler Lewington,19-20,D,6,0.0,0.0,0
Trevor Lewis,19-20,C,56,45.0,71.0,5
Jakob Lilja,19-20,F,37,2.0,2.0,0
Timothy Liljegren,19-20,D,11,0.0,0.0,0
Oskar Lindblom,19-20,LW,30,13.0,19.0,0
Esa Lindell,19-20,D,69,0.0,0.0,0
Ryan Lindgren,19-20,D,60,0.0,0.0,0
Anton Lindholm,19-20,D,4,0.0,0.0,0
Elias Lindholm,19-20,C,70,395.0,406.0,13
Hampus Lindholm,19-20,D,56,0.0,0.0,0
Pär Lindholm,19-20,C,40,132.0,156.0,6
Gustav Lindström,19-20,D,16,0.0,0.0,0
Bryan Little,19-20,RW,7,48.0,58.0,7
Blake Lizotte,19-20,C,65,312.0,310.0,13
Adam Lowry,19-20,LW,49,349.0,300.0,21
Milan Lucic,19-20,LW,68,20.0,26.0,0
Matt Luff,19-20,RW,18,0.0,3.0,0
Isac Lundeström,19-20,C,15,65.0,74.0,8
Eetu Luostarinen,19-20,C,8,33.0,30.0,16
Joona Luoto,19-20,F,16,0.0,0.0,0
Ilya Lyubushkin,19-20,D,51,0.0,0.0,0
Olli Määttä,19-20,D,65,0.0,0.0,0
Kurtis MacDermid,19-20,D,45,0.0,0.0,0
Mackenzie MacEachern,19-20,LW,51,1.0,3.0,0
Zack MacEwen,19-20,C,17,1.0,1.0,0
Ryan MacInnis,19-20,C,10,10.0,17.0,0
Nathan MacKinnon,19-20,C,69,363.0,478.0,5
Josh Mahura,19-20,D,11,0.0,0.0,0
Cale Makar,19-20,D,57,0.0,0.0,0
Beck Malenstyn,19-20,LW,3,0.0,0.0,0
Denis Malgin,19-20,C,44,65.0,98.0,5
Evgeni Malkin,19-20,C,55,441.0,435.0,15
Andrew Mangiapane,19-20,LW,68,12.0,31.0,0
Brandon Manning,19-20,D,9,0.0,0.0,0
Josh Manson,19-20,D,50,0.0,0.0,0
Anthony Mantha,19-20,RW,43,16.0,22.0,0
Brad Marchand,19-20,LW,70,22.0,29.0,5
Jonathan Marchessault,19-20,C,66,58.0,78.0,5
Mason Marchment,19-20,F,4,1.0,0.0,0
Martin Marinčin,19-20,D,26,0.0,0.0,0
John Marino,19-20,D,56,0.0,0.0,0
Patrick Marleau,19-20,C,66,36.0,40.0,5
Mitch Marner,19-20,RW,59,7.0,19.0,0
Pat Maroon,19-20,LW,64,6.0,3.0,0
Matt Martin,19-20,LW,55,3.0,4.0,0
Alec Martinez,19-20,D,51,0.0,0.0,0
Jordan Martinook,19-20,LW,45,66.0,62.0,5
Mike Matheson,19-20,D,59,0.0,0.0,0
Stefan Matteau,19-20,LW,9,0.0,0.0,0
Auston Matthews,19-20,C,70,506.0,415.0,22
Scott Mayfield,19-20,D,67,0.0,0.0,0
Gerald Mayhew,19-20,F,13,3.0,3.0,0
Charlie McAvoy,19-20,D,67,0.0,0.0,0
Jake McCabe,19-20,D,66,0.0,0.0,0
Jared McCann,19-20,C,66,265.0,306.0,7
Connor McDavid,19-20,C,64,320.0,350.0,10
Ryan McDonagh,19-20,D,50,0.0,0.0,0
Brock McGinn,19-20,LW,68,15.0,24.0,0
Dylan McIlrath,19-20,D,16,0.0,0.0,0
Greg McKegg,19-20,C,53,104.0,107.0,6
Michael McLeod,19-20,C,12,40.0,40.0,11
Brayden McNabb,19-20,D,71,0.0,0.0,0
Jayson Megna,19-20,C,8,0.0,1.0,0
Timo Meier,19-20,RW,70,12.0,25.0,0
Brennan Menell,19-20,D,5,0.0,0.0,0
Nicholas Merkley,19-20,RW,4,0.0,0.0,0
Dakota Mermis,19-20,D,10,0.0,0.0,0
Jonathon Merrill,19-20,D,49,0.0,0.0,0
Victor Mete,19-20,D,51,0.0,0.0,0
Jacob Middleton,19-20,D,10,0.0,0.0,0
Ilya Mikheyev,19-20,F,39,3.0,1.0,0
Niko Mikkola,19-20,D,5,0.0,0.0,0
Sonny Milano,19-20,LW,55,0.0,0.0,0
Colin Miller,19-20,D,51,0.0,0.0,0
J.T. Miller,19-20,C,69,425.0,293.0,25
Casey Mittelstadt,19-20,C,31,86.0,99.0,6
Sean Monahan,19-20,C,70,549.0,495.0,19
Brandon Montour,19-20,D,54,0.0,0.0,0
John Moore,19-20,D,24,0.0,0.0,0
Trevor Moore,19-20,LW,42,4.0,10.0,0
Samuel Morin,19-20,D,1,0.0,0.0,0
Josh Morrissey,19-20,D,65,0.0,0.0,0
Tyler Motte,19-20,C,34,8.0,11.0,0
Mirco Müller,19-20,D,50,0.0,0.0,0
Connor Murphy,19-20,D,58,0.0,0.0,0
Ryan Murray,19-20,D,27,0.0,0.0,0
Jake Muzzin,19-20,D,53,0.0,0.0,0
Philippe Myers,19-20,D,50,0.0,0.0,0
Tyler Myers,19-20,D,68,0.0,0.0,0
Vladislav Namestnikov,19-20,C,65,22.0,25.0,0
Riley Nash,19-20,C,64,245.0,267.0,9
James Neal,19-20,LW,55,11.0,20.0,0
Martin Nečas,19-20,C,64,13.0,35.0,0
Brock Nelson,19-20,C,68,615.0,573.0,18
Patrik Nemeth,19-20,D,64,0.0,0.0,0
Aaron Ness,19-20,D,24,0.0,0.0,0
Valeri Nichushkin,19-20,RW,65,2.0,3.0,0
Nino Niederreiter,19-20,RW,67,1.0,3.0,0
Frans Nielsen,19-20,C,60,210.0,246.0,6
Matthew Nieto,19-20,LW,70,2.0,3.0,0
Boo Nieves,19-20,C,4,14.0,5.0,16
Sami Niku,19-20,D,17,0.0,0.0,0
Matt Niskanen,19-20,D,68,0.0,0.0,0
Stefan Noesen,19-20,RW,40,7.0,11.0,0
Joakim Nordström,19-20,C,48,1.0,6.0,0
Joshua Norris,19-20,C,3,30.0,19.0,28
Tomáš Nosek,19-20,C,67,217.0,216.0,11
Ryan Nugent-Hopkins,19-20,C,65,205.0,199.0,11
Darnell Nurse,19-20,D,71,0.0,0.0,0
Markus Nutivaara,19-20,D,37,0.0,0.0,0
Joakim Nygård,19-20,F,33,3.0,3.0,0
Alexander Nylander,19-20,LW,65,5.0,14.0,0
William Nylander,19-20,C,68,106.0,106.0,5
Gustav Nyquist,19-20,RW,70,17.0,16.0,0
Logan O'Connor,19-20,RW,16,0.0,1.0,0
Ryan O'Reilly,19-20,C,71,880.0,676.0,25
Jordan Oesterle,19-20,D,58,0.0,0.0,0
Kyle Okposo,19-20,RW,52,38.0,33.0,5
Jamie Oleksiak,19-20,D,69,0.0,0.0,0
Mathieu Olivier,19-20,F,8,0.0,0.0,0
Gustav Olofsson,19-20,D,3,0.0,0.0,0
Victor Olofsson,19-20,RW,54,1.0,1.0,0
Dmitry Orlov,19-20,D,69,0.0,0.0,0
T.J. Oshie,19-20,C,69,119.0,119.0,5
Xavier Ouellet,19-20,D,12,0.0,0.0,0
Alex Ovechkin,19-20,LW,68,1.0,0.0,-1
Max Pacioretty,19-20,LW,71,51.0,45.0,5
Jean-Gabriel Pageau,19-20,C,67,615.0,534.0,21
Ondřej Palát,19-20,LW,69,7.0,14.0,0
Kyle Palmieri,19-20,RW,65,12.0,25.0,0
Artemi Panarin,19-20,LW,69,1.0,1.0,0
Richard Pánik,19-20,RW,59,11.0,8.0,0
Cédric Paquette,19-20,C,61,316.0,305.0,15
Colton Parayko,19-20,D,64,0.0,0.0,0
Zach Parise,19-20,LW,69,41.0,36.0,5
David Pastrňák,19-20,RW,70,7.0,11.0,0
Greg Pateryn,19-20,D,20,0.0,0.0,0
Nick Paul,19-20,LW,56,191.0,182.0,12
Joe Pavelski,19-20,C,67,351.0,301.0,19
Tanner Pearson,19-20,LW,69,3.0,14.0,0
Matthew Peca,19-20,C,14,43.0,36.0,14
Andrew Peeke,19-20,D,22,0.0,0.0,0
Adam Pelech,19-20,D,38,0.0,0.0,0
Brendan Perlini,19-20,LW,40,0.0,0.0,0
Mathieu Perreault,19-20,C,49,13.0,6.0,0
David Perron,19-20,LW,71,3.0,5.0,0
Corey Perry,19-20,RW,57,4.0,6.0,0
Joel Persson,19-20,D,13,0.0,0.0,0
Brett Pesce,19-20,D,61,0.0,0.0,0
Nic Petan,19-20,C,16,1.0,3.0,0
Jeff Petry,19-20,D,71,0.0,0.0,0
Elias Pettersson,19-20,C,68,59.0,82.0,5
Marcus Pettersson,19-20,D,69,0.0,0.0,0
Alex Pietrangelo,19-20,D,70,0.0,0.0,0
Lawrence Pilut,19-20,D,13,0.0,0.0,0
Neal Pionk,19-20,D,71,0.0,0.0,0
Brandon Pirri,19-20,C,16,6.0,3.0,0
Tyler Pitlick,19-20,C,63,5.0,13.0,0
Ryan Poehling,19-20,C,27,3.0,12.0,0
Austin Poganski,19-20,RW,1,0.0,0.0,0
Brayden Point,19-20,C,66,397.0,380.0,16
Roman Polák,19-20,D,41,0.0,0.0,0
Tucker Poolman,19-20,D,57,0.0,0.0,0
Derrick Pouliot,19-20,D,2,0.0,0.0,0
Nikolai Prokhorkin,19-20,LW,43,101.0,111.0,6
Dalton Prout,19-20,D,2,0.0,0.0,0
Ivan Provorov,19-20,D,69,0.0,0.0,0
Ryan Pulock,19-20,D,68,0.0,0.0,0
Mark Pysyk,19-20,D,58,3.0,3.0,0
John Quenneville,19-20,C,9,3.0,1.0,0
Alan Quine,19-20,C,9,1.0,0.0,0
Gage Quinney,19-20,F,3,8.0,9.0,6
Lukáš Radil,19-20,C,14,1.0,3.0,0
Alexander Radulov,19-20,RW,60,4.0,10.0,0
Michael Raffl,19-20,LW,58,99.0,98.0,5
Rickard Rakell,19-20,RW,65,10.0,3.0,0
Mikko Rantanen,19-20,RW,42,44.0,31.0,5
Victor Rask,19-20,C,43,120.0,152.0,5
Ryan Reaves,19-20,RW,71,24.0,28.0,5
Mike Reilly,19-20,D,44,0.0,0.0,0
Sam Reinhart,19-20,C,69,40.0,72.0,5
Anthony Richard,19-20,C,1,0.0,0.0,0
Brad Richardson,19-20,C,59,355.0,303.0,20
Tobias Rieder,19-20,C,55,11.0,42.0,5
Morgan Rielly,19-20,D,47,0.0,1.0,0
Juuso Riikola,19-20,D,36,0.0,0.0,0
Zac Rinaldo,19-20,C,19,0.0,0.0,0
Rasmus Ristolainen,19-20,D,69,0.0,0.0,0
Brett Ritchie,19-20,RW,27,2.0,3.0,0
Nick Ritchie,19-20,LW,48,1.0,7.0,0
Jason Robertson,19-20,LW,3,0.0,0.0,0
