Pos,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,PlusMin,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,UID,season
C,6,0.1,0.13,0.23,0.09,1.03,6,8,14,5,20,0,41,5,-16,24.7,27.0,-2.4,-0.1,0.2,0.2,,dubinbr01,18-19
C,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,2,0,-2,0.2,1.2,-1.1,0.0,-0.1,-0.1,,gignabr01,18-19
D,2,0.05,0.05,0.1,0.04,0.85,2,2,4,2,20,0,49,14,-15,16.2,24.2,-7.9,-0.1,-0.2,-0.3,,mannibr01,18-19
D,12,0.1,0.33,0.43,0.14,2.21,8,27,35,12,68,8,95,15,-20,61.9,69.8,-7.9,2.1,3.2,5.3,,montobr01,18-19
C,8,0.39,0.19,0.58,0.27,2.65,12,6,18,8,27,5,16,0,7,18.5,12.9,5.6,1.8,0.8,2.6,2.0,pirribr01,18-19
LW,19,0.29,0.3,0.59,0.23,2.44,23,24,47,19,71,9,88,17,-9,52.9,55.7,-2.9,3.0,0.9,3.9,,saadbr01,18-19
C/RW,3,0.15,0.08,0.23,0.11,1.65,4,2,6,3,12,1,26,3,-12,8.4,18.0,-9.6,-0.2,0.1,-0.1,,suttebr03,18-19
LW,12,0.18,0.19,0.36,0.15,1.59,14,15,29,12,37,0,45,16,9,33.8,34.9,-1.0,1.2,1.5,2.7,,tanevbr01,18-19
D,6,0.05,0.15,0.2,0.07,1.04,4,12,16,5,70,0,90,31,11,65.1,56.7,8.4,0.1,4.2,4.3,,mcnabbr01,18-19
C,36,0.52,0.65,1.16,0.45,2.42,41,51,92,36,140,60,53,0,27,62.2,57.9,4.3,9.1,2.3,11.4,6.0,pointbr01,18-19
C,19,0.24,0.51,0.75,0.27,2.21,17,37,54,19,82,21,63,5,3,62.6,44.7,17.9,3.4,1.8,5.2,1.0,schenbr01,18-19
D,7,0.05,0.26,0.31,0.1,1.53,4,19,23,7,52,0,60,12,4,50.5,45.9,4.6,1.2,2.1,3.4,,coburbr01,18-19
RW,23,0.4,0.23,0.63,0.28,3.68,33,19,52,23,81,16,56,0,10,61.2,46.4,14.7,4.7,1.8,6.5,,gallabr01,18-19
C,1,0.33,0.67,1.0,0.37,0.67,1,2,3,1,4,0,1,0,3,0.8,0.9,-0.2,0.3,0.1,0.5,,gauncbr01,18-19
D,0,0.0,0.13,0.13,0.03,1.88,0,1,1,0,2,0,4,0,-2,4.8,4.6,0.3,0.0,0.2,0.1,,guhlebr01,18-19
LW,8,0.11,0.26,0.37,0.13,1.48,7,16,23,8,36,11,39,0,-14,22.9,26.0,-3.1,0.7,0.6,1.3,,leipsbr01,18-19
LW,8,0.19,0.08,0.27,0.12,1.06,12,5,17,8,27,1,20,0,6,22.6,25.5,-2.9,1.3,0.9,2.2,,lemiebr01,18-19
LW,9,0.21,0.1,0.31,0.14,1.72,14,7,21,10,29,5,41,0,-17,27.2,37.3,-10.1,1.3,0.2,1.5,,perlibr01,18-19
D,5,0.06,0.14,0.21,0.07,1.05,4,9,13,5,24,0,43,12,-7,35.4,38.2,-2.7,0.5,1.5,2.0,,smithbr05,18-19
D,6,0.01,0.26,0.27,0.07,0.87,1,21,22,6,72,0,59,7,19,66.2,48.6,17.5,0.5,4.0,4.5,,dillobr01,18-19
D/RW,26,0.2,0.82,1.01,0.32,3.66,16,67,83,27,142,39,106,16,13,78.6,70.2,8.3,7.3,4.7,12.0,,burnsbr01,18-19
D,9,0.06,0.29,0.36,0.11,2.12,5,23,28,9,66,12,89,29,-6,48.6,59.2,-10.6,1.5,1.7,3.2,,seabrbr01,18-19
RW,18,0.27,0.3,0.57,0.22,1.72,22,24,46,19,63,6,43,0,13,45.7,44.3,1.4,3.7,1.5,5.2,,connobr01,18-19
C,8,0.09,0.26,0.35,0.12,1.12,6,17,23,8,40,6,57,8,-16,32.1,44.7,-12.6,0.2,0.6,0.7,,howdebr01,18-19
D,6,0.11,0.19,0.3,0.11,1.79,6,11,17,6,53,0,46,5,12,46.6,35.5,11.0,1.1,2.9,3.9,,kulakbr01,18-19
D,10,0.1,0.3,0.4,0.14,1.34,7,22,29,10,76,1,60,20,35,61.8,44.7,17.1,1.8,6.1,7.9,,pescebr01,18-19
RW,3,0.08,0.04,0.11,0.05,1.08,4,2,6,3,12,2,17,0,-7,13.8,19.6,-5.8,-0.4,0.5,0.1,,ritchbr01,18-19
LW,5,0.1,0.16,0.25,0.1,0.96,5,8,13,5,17,1,30,0,-14,17.4,24.4,-7.1,0.4,0.2,0.6,,seneybr01,18-19
C,12,0.25,0.08,0.33,0.16,1.68,18,6,24,11,54,21,62,15,-14,26.8,25.6,1.2,1.6,0.7,2.3,,boylebr01,18-19
D,7,0.04,0.26,0.3,0.09,1.3,3,20,23,7,89,1,78,21,31,71.0,59.3,11.7,0.7,5.0,5.7,,dumoubr01,18-19
C,7,0.13,0.17,0.3,0.11,0.78,8,11,19,7,29,0,46,12,-5,21.4,32.8,-11.4,0.7,0.7,1.4,,gibbobr02,18-19
D,0,0.0,0.25,0.25,0.07,0.5,0,1,1,0,2,0,3,0,-1,2.6,3.5,-0.8,0.0,0.0,0.1,,lashobr01,18-19
RW,23,0.38,0.43,0.81,0.33,3.03,26,30,56,22,87,27,62,0,-2,42.7,43.7,-1.0,4.7,1.6,6.3,7.0,boesebr01,18-19
LW,10,0.12,0.2,0.32,0.12,1.5,10,16,26,10,47,1,53,17,10,35.3,34.6,0.7,0.4,1.8,2.2,2.0,mcginbr01,18-19
C,21,0.3,0.34,0.65,0.26,2.21,25,28,53,21,74,16,46,9,20,52.6,49.7,2.9,3.8,2.5,6.3,5.0,nelsobr01,18-19
D,0,0.0,0.0,0.0,0.0,1.5,0,0,0,0,0,0,1,0,-1,0.6,1.1,-0.6,0.0,0.0,0.0,,raffebr01,18-19
D,3,0.04,0.13,0.17,0.06,0.81,2,7,9,3,42,0,54,20,8,28.5,29.6,-1.1,0.1,1.9,2.0,,orpikbr01,18-19
RW,15,0.18,0.32,0.5,0.18,1.54,15,26,41,15,66,16,76,14,-12,41.3,48.6,-7.4,2.0,0.9,2.9,1.0,littlbr01,18-19
RW,14,0.25,0.24,0.49,0.2,1.96,18,17,35,14,56,0,60,14,10,41.1,43.0,-1.9,2.1,1.6,3.7,,rustbr01,18-19
LW,1,0.18,0.0,0.18,0.1,1.64,2,0,2,1,3,0,3,0,0,4.5,5.8,-1.3,0.1,0.2,0.2,,smithcj01,18-19
RW,8,0.11,0.21,0.32,0.12,1.3,8,15,23,8,36,4,50,24,6,31.2,25.8,5.4,0.3,1.5,1.7,,cluttca01,18-19
D,2,0.06,0.29,0.35,0.11,1.24,1,5,6,2,13,1,24,3,-9,10.7,12.1,-1.4,0.3,0.0,0.3,,jonesca01,18-19
