CorsiFor,CorsiAgainst,CorsiForPerc,CorsiForPercRel,FenwickF,FenwickA,FenwickPerc,FenwickPercRel,TeamOnIceShootPerc,TeamOnIceSavePerc,ShootPercPlusSavePerc,OZoneStartPerc,DZoneStartPerc,ATOIEV,TakeAways,GiveAways,EPlusMin,ShotAttempts,ShotThruPerc,UID,season
1110,978,53.2,1.4,837,768,52.1,0.8,10.0,88.1,98.1,53.2,46.8,16:26,35,47,4.2,357.0,55.2,tavarjo01,19-20
197,232,45.9,-2.0,159,180,46.9,-2.3,14.8,86.2,100.9,53.2,46.8,12:05,2,8,0.0,26.0,53.8,tennyma01,19-20
1076,788,57.7,5.1,812,624,56.5,4.3,10.4,90.2,100.6,56.0,44.0,14:19,44,44,10.5,317.0,57.4,teravte01,19-20
509,516,49.7,1.3,397,401,49.7,1.5,6.5,91.1,97.7,57.2,42.8,12:28,31,19,-1.2,140.0,52.1,terrytr01,19-20
403,393,50.6,1.0,314,289,52.1,0.2,7.9,92.9,100.8,55.2,44.8,11:55,16,12,0.4,85.0,57.6,texieal01,19-20
1513,1094,58.0,5.7,1163,852,57.7,4.9,7.3,91.6,98.9,58.7,41.3,18:56,55,54,27.7,460.0,47.6,theodsh01,19-20
751,706,51.5,0.5,559,551,50.4,-0.7,10.2,91.4,101.5,56.2,43.8,12:52,46,30,8.6,146.0,59.6,thomaro01,19-20
638,724,46.8,-8.6,473,510,48.1,-6.9,6.6,92.1,98.8,38.2,61.8,10:27,25,33,-1.3,,,thompna01,19-20
7,6,53.8,1.5,5,4,55.6,7.6,0.0,100.0,100.0,66.7,33.3,6:59,1,0,0.0,2.0,0.0,thompta01,19-20
912,819,52.7,3.4,666,608,52.3,3.3,7.1,87.7,94.8,51.3,48.7,12:60,55,30,-3.3,125.0,60.8,thornjo01,19-20
13,19,40.6,-7.5,9,14,39.1,-11.1,0.0,100.0,100.0,28.6,71.4,8:15,0,0,-0.2,3.0,33.3,thurkca01,19-20
906,989,47.8,-0.7,684,757,47.5,-1.6,9.9,90.1,100.0,41.7,58.3,13:45,32,42,-5.6,181.0,56.4,tiernch01,19-20
308,345,47.2,-5.2,226,260,46.5,-5.4,8.0,94.6,102.6,36.5,63.5,8:17,5,7,-2.8,,,timasdm01,19-20
24,18,57.1,12.7,19,12,61.3,17.9,14.3,100.0,114.3,55.6,44.4,9:32,1,0,0.3,4.0,25.0,timmico01,19-20
345,445,43.7,-6.4,268,332,44.7,-6.3,9.0,92.3,101.3,44.5,55.5,15:08,1,18,-5.0,52.0,38.5,tinorja01,19-20
1203,1151,51.1,4.1,917,872,51.3,4.0,7.5,90.6,98.1,53.3,46.7,15:46,35,40,6.4,432.0,60.2,tkachbr01,19-20
1098,949,53.6,4.3,811,734,52.5,3.7,11.0,88.2,99.2,47.7,52.3,15:10,40,86,7.6,323.0,58.2,tkachma01,19-20
